tranID,userID,name,status,date,subtotal
87,72,1-day coverage - luxury cars,3,2017-12-19 06:40:19,1007.53
88,111,10-trips biking+ (electric bikes),3,2018-10-03 08:23:20,583.31
89,39,1-day coverage - luxury cars,2,2018-08-25 07:14:01,404.52
90,54,10-trips biking,3,2017-07-10 07:42:48,328.27
91,118,7-days biking,3,2016-12-03 07:46:13,886.97
92,12,1-month car rental - Reduced fare,1,2016-02-17 08:36:05,132.98
93,137,1-month biking+ (electric bikes) - Reduced fare,1,2016-12-02 08:38:14,624.75
94,109,3-days coverage - regular cars,3,2013-06-25 08:03:39,1020.38
95,53,1-trip biking+ (electric bikes),1,2019-02-18 08:28:14,804.00
96,58,1-month car rental,2,2014-01-12 06:57:23,927.43
97,108,1-month combo (inc. all bikes and cars),2,2014-06-13 06:07:01,434.50
98,136,3-days combo (inc. all bikes and cars),2,2014-05-26 07:21:07,143.85
99,52,10-trips biking+ (electric bikes),3,2015-06-19 08:37:19,988.58
100,113,3-days car rental,3,2018-02-08 07:35:02,99.87
101,120,3-days car rental,2,2016-09-06 07:25:14,229.47
102,114,3-days biking,3,2015-09-07 07:26:23,281.35
103,6,3-days car rental,1,2016-03-19 08:48:11,466.83
104,4,1-day car rental,2,2013-07-05 06:03:35,135.43
105,52,1-month biking+ (electric bikes),2,2014-12-09 07:01:11,850.88
106,53,3-days coverage - luxury cars,3,2017-12-07 06:15:12,961.71
107,142,7-days combo (inc. all bikes and cars),3,2018-11-28 07:00:59,76.19
108,34,10-trips biking,2,2015-09-06 07:51:22,81.75
109,132,3-days combo (inc. all bikes and cars),2,2016-01-31 07:45:36,918.75
110,107,2-trips biking+ (electric bikes),2,2018-07-21 08:30:38,801.32
111,141,1-month car rental - Reduced fare,1,2014-07-07 08:25:57,548.46
112,111,1-month biking,2,2016-04-13 06:52:37,475.90
113,100,3-days biking,1,2013-05-29 07:25:49,231.99
114,130,1-month car rental,3,2013-11-25 07:43:42,149.36
115,49,3-days car rental,1,2014-06-23 06:06:21,322.51
116,84,All year biking,1,2016-06-29 06:41:16,939.76
117,114,7-days coverage - regular cars,3,2013-06-26 07:32:28,791.82
118,86,1-day biking+ (inc. electric bikes),3,2013-06-14 07:30:31,416.20
119,49,1-month coverage - luxury cars,1,2016-10-04 08:19:35,733.98
120,91,1-trip biking,3,2018-04-28 08:47:16,358.15
121,88,1-year coverage - regular cars,3,2014-01-08 06:21:22,506.72
122,109,3-days coverage - regular cars,1,2015-03-03 06:49:39,366.51
123,11,All year combo (inc. all bikes and cars) - Reduced fare,2,2015-12-25 06:01:49,495.73
124,96,1-month car rental,2,2013-08-01 07:02:27,46.71
125,77,All year car rental,1,2014-07-25 07:58:16,918.89
126,25,All year biking+,3,2018-05-22 06:48:55,792.83
127,15,1-day biking,3,2014-08-10 08:25:53,930.84
128,79,1-month coverage - luxury cars,3,2017-09-11 07:06:28,341.37
129,123,All year biking,3,2017-11-08 07:58:44,355.82
130,113,7-days car rental,3,2014-05-27 07:14:59,150.17
131,20,1-month combo (inc. all bikes and cars),2,2017-09-22 08:47:43,248.91
132,130,1-trip biking+ (electric bikes),2,2017-06-04 06:29:52,596.79
133,131,1-month car rental - Reduced fare,2,2016-12-26 07:01:14,755.29
134,4,1-trip biking+ (electric bikes),1,2016-02-01 06:44:55,928.38
135,128,10-trips biking+ (electric bikes),2,2013-04-07 07:01:29,266.78
136,10,1-day coverage - luxury cars,1,2014-05-12 06:35:05,667.75
137,81,3-days coverage - regular cars,2,2018-11-16 08:15:27,38.16
138,92,3-days coverage - luxury cars,2,2015-12-02 06:23:23,766.93
139,87,2-trips biking,1,2018-10-25 06:28:13,366.52
140,85,3-days biking+ (inc. electric bikes),3,2018-04-08 08:42:04,566.29
141,104,All year biking+,2,2018-06-10 06:33:50,310.41
142,98,All year car rental,1,2014-07-10 08:14:22,575.15
143,102,All year biking+,2,2014-06-19 08:08:20,156.21
144,140,All year biking+,3,2013-07-27 07:09:30,136.04
145,103,7-days coverage - regular cars,2,2018-11-02 07:58:49,364.44
146,12,1-month biking,3,2017-12-28 07:01:13,211.25
147,13,1-month car rental,1,2013-05-11 08:12:51,253.22
148,130,2-trips biking,2,2013-05-17 07:48:19,266.57
149,7,1-day coverage - luxury cars,3,2015-03-10 07:43:07,919.37
150,57,7-days biking+,1,2017-07-26 06:53:47,594.66
